ID,Dialogue,Manipulative,Manipulative_Label
85514497,"Person1: Thank you for showing it to me first. I'll... I'll take care of it. Can I have the picture?
Person2: Of course. There is one more thing, Mrs. Treborn. And I feel bad for mentioning it...
Person1: What?
Person2: When I asked Evan about his drawing, well, he didn't remember doing it.",0,Not manipulative
85514498,"Person1: It's true.
Person2: I'm tryin' to keep you from being hurt What more do you want?
Person1: Much more, Terry. Much, much more!",1,Manipulative
85514499,"Person1: You were quick enough to get Tom's help when...
Person2: Yes, yes.  I know.  Right.  And if it had gone well for me tonight, maybe I'd be keeping quiet about all this...I grant you everything but give me this...he does personify everything you've been fighting against...And I'm in love with you.  How do you like that? -- I buried the lead.",0,Not manipulative
85514500,"Person1: George... look me in the eye... George, you don't ever lie to me again.
Person2: I must trust you, Matthew.  I cannot stop this without you.",1,Manipulative
85514501,"Person1: 'The heir to the fortune must wear the Mayfair pendant an her wedding day.'  We should all have to suffer such burdens.
Person2: Then you wear it.
Person1: C'mon now - give a little nod to Mayfair tradition.",1,Manipulative
85514502,"Person1: What made you do it? Who paid you off?
Person2: Nobody. I'm the maid!",0,Not manipulative
85514503,"Person1: I don't know.
Person2: Are we gonna split up?
Person1: No, never.  Don't even think about that, it's impossible.  I love your mother. And you are my heart.  Could I live without my heart?  Could I?",1,Manipulative
85514504,"Person1: Now I understand.  That helps.  I can make them understand that.
Person2: Okay.
Person1: Let me come get him.
Person2: No way! You guys will jump me!
Person1: If you won't let me come in, then put him outside.
Person2: You'll shoot me as soon as I step out the door!
Person1: You've already helped yourself once, Dennis; be smart again.  If you save his life, it'll help when you get to court.",1,Manipulative
85514505,"Person1: I mean, what is there to be happy about really? I mean, going to the gym, climbing the StairMaster, eating the yogurt, checking the voice mail. Smoking the low-tar cigarettes, shaving the bikini line. Sometimes I just want something different, you know?
Person2: What was your name again?
Person1: Erica.
Person2: Erica. So do you think you and I are alike, Erica?
Person1: Deep down. Way down.
Person2: It's a mistake to think that.
Person1: We could still talk, you know? It's nice to talk.
Person2: It's nice to do a lot of things.
Person1: That's what I mean.
Person2: I'm not a nice guy.
Person1: I know. It's okay.
Person2: Yeah?
Person1: Mm-hm. I'm a big girl. I can take care of myself. If I didn't want to be here, I'd be in a limo right now with a bunch of kids looking for Chinese food.
Person2: No, no, see, you, you don't understand.
Person1: Hay? Yeah? So teach me a lesson.",1,Manipulative
85514506,"Person1: No, you listen. Get out!
Person2: Lady, I'm here to help you. This man is very dangerous. An armed criminal.  He's got a gun, hasn't he?
Person1: You have no right here!",1,Manipulative
85514507,"Person1: Jackie... Jackie?... answer me, for God's sake, answer me.
Person2: If you knew how many times I wanted to hear you say that...
Person1: So I'm saying it...
Person2: It's too late...
Person1: What's too late about it? Look, we're not dead, are we? That's the only thing that's too late.
Person2: Lester's left Felicia. He's taking me to Acapulco on the five o'clock flight. He's asked me to marry him.
Person1: So what? You don't love him, do you? Answer me.
Person2: What's that supposed to mean?
Person1: I don't know... Jackie?
Person2: What?",0,Not manipulative
85514508,"Person1: Gallatin! So the righteous Starfleet Captain finally released you. Did you encounter any problems on the surface?
Person2: No, sir. But it wasn't easy... being among them...
Person1: I'm sure. Just don't forget what they did to us.  We'll have them rounded up in a day or two... we needn't bother with the Federation holo-ship any more. Just get the holding cells ready.",1,Manipulative
85514509,"Person1: Like it?
Person2: Yes. It reminds me of home.
Person1: Where Superman's from? Krypton?
Person2: No. Argo City. It was on a chunk of rock that was part of Krypton once---but we moved it to inner space.
Person1: I'm sorry, I don't understand.
Person2: It's not important. The important thing is I'm here to find something and I think you can he1p me.
Person1: Come on, let's ride.",0,Not manipulative
85514510,"Person1: ...wouldn't let you settle it, huh?
Person2: Hell, you know how Skinny is. Says he's gonna shoot 'em... an I says, ""Skinny, you can't do that,"" an' he says, ""Well, then get Little Bill down here an' let's settle this"" an' I says, ""Bill's sleepin', Skinny,"" an'...",0,Not manipulative
85514511,"Person1: He's not really my friend.  I just do a job for him now and then.
Person2: Tyrell could help us, Sebastian.
Person1: He could?
Person2: His company made us.
Person1: I'd be happy to mention it to him.
Person2: Be better if I could talk to him in person.  But he's not an easy man to get to.
Person1: No.
Person2: When do you deliver your project?
Person1: This afternoon.",0,Not manipulative
85514512,"Person1: Quincy, I told you about these fat-ass girls.
Person2: We were just studying.
Person1: I'm not playing with you, these girls are looking to get you caught.  They see you, they see dollar signs.
Person2: Okay.
Person1: You hearing me?
Person2: I've been hearing you.",0,Not manipulative
