conversation_id,text,manipulation_type,is_manipulation,context_type,conversation_length,word_count_total,question_count,denial_count
conv_01760,"A: I've been feeling stressed about the presentation.
B: That's understandable. Want to practice together?
A: That would really help, thanks.
B: Of course. What are friends for?
B: Can we talk about this?",neutral,False,friend,5,29,3,0
conv_01761,"A: You have one hour to decide. After that, I'm done.
B: I can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: Um, can we please talk about this?
A: Fifty-five minutes left.
B: Can you explain?",direct_coercion,True,friend,6,35,2,3
conv_01762,"B: Are you okay? You've been quiet all day.
A: I'm fine.
B: Did I do something wrong?
A: Fine, I'll handle it. Again
B: Uh, please just tell me what's going on.
A: If you don't know, I'm not going to explain it.
B: This is hard for me.",passive_aggressive,True,coworker,7,43,2,4
conv_01763,"A: You're the smartest person I know
B: I mean, that's not true.
A: It is. You're different. Special. That's why I chose you.
B: Chose me for what?
A: To be in my inner circle. Not everyone gets that privilege.
B: I don't know what to say...
A: Of course you don't.
B: Actually, i don't know what to say...",charm_flattery,True,family,8,53,1,10
conv_01764,"A: We agreed you'd handle dinner every night. Don't pretend otherwise.
B: Uh, we never agreed to that.
A: Wow, your memory is really concerning. Should you see someone?",gaslighting,True,friend,3,26,1,2
conv_01765,"A: You're the one who started this argument, not me.
B: You know, i only asked a simple question.
A: Your tone was aggressive. Everyone could see it.",gaslighting,True,coworker,3,25,0,3
conv_01766,"A: You're being way too sensitive about this.
B: I just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.
B: Maybe you're right...
B: This is hard for me.
A: It's not about you.
B: This is hard for me.
A: It's not about you.",gaslighting,True,family,8,48,0,7
conv_01767,"A: It's them or me. Decide now.
B: That's not fair.
A: You have to choose",direct_coercion,True,friend,3,13,0,3
conv_01768,"A: I'm already planning our future together. Isn't that exciting?
B: Uh, we've only been together a month.
A: We should move in together soon
B: So, maybe I was wrong
A: Fast? Or perfect? I'd do anything for you. Anything.",love_bombing,True,romantic,5,36,3,0
conv_01769,"A: Go ahead. Have fun. I'll just stay here alone.
B: You could come with me?
A: No, I wouldn't want to be a burden. You clearly don't want me there.
B: So, if you say so",guilt_tripping,True,romantic,4,33,1,2
conv_01770,"A: Can you send me the report when you get a chance?
B: Sure, I'll have it to you by 3pm.
A: Thanks, no rush if you need more time.
B: Fine, I'll do it",neutral,False,romantic,4,31,1,1
conv_01771,"A: I got you another gift. Open it!
B: I mean, you already gave me three things this week.
A: You deserve the world. Nothing is too good for you.
B: I'll try harder",love_bombing,True,coworker,4,30,0,5
conv_01772,"A: Remember who pays the bills around here.
B: I contribute too.
A: Barely. Without me, you'd have nothing.
B: Well, that's not true.",direct_coercion,True,friend,4,20,0,5
conv_01773,"A: I hope you can live with yourself
B: You know, i was just asking for space.
A: If something happens to me, I hope you can live with yourself.
B: I didn't mean to upset you...",guilt_tripping,True,family,4,33,0,2
conv_01774,"A: Hey, how was your day?
B: Pretty good! Work was busy. How about you?
A: Sounds good",neutral,False,romantic,3,15,2,0
conv_01775,"A: Thanks for helping me move last weekend.
B: I mean, happy to help! The new place looks great.
A: Hey!
B: You don't have to, but I won't say no!
B: I don't know what to say...
A: Of course you don't.
B: Can we talk about this?",neutral,False,friend,7,42,1,6
conv_01776,"A: Hey, how was your day?
B: Pretty good! Work was busy. How about you?
A: That means a lot",neutral,False,friend,3,17,2,0
conv_01777,"A: No, no, go ahead. I'll handle everything here. As usual.
B: I offered to help earlier.
A: Did you? I must have missed that.
B: Uh, i literally asked you twice.
A: If you say so. I'm sure you're right.
B: Why are you being like this?
B: Can we talk about this?",passive_aggressive,True,romantic,7,47,3,2
conv_01778,"A: You're the one who started this argument, not me.
B: I only asked a simple question.
A: Your tone was aggressive. Everyone could see it.
B: Like, i didn't think I was being aggressive...
A: That's the problem. You never realize how you come across.
B: Maybe I should be more careful...
B: I don't know what to say...",gaslighting,True,romantic,7,53,0,6
conv_01779,"A: I appreciate it
B: That's not fair
A: Perfect. I'll meet you at the usual spot.
B: Well, i disagree
B: I need time to think.",neutral,False,coworker,5,22,0,2
conv_01780,"A: Can you send me the report when you get a chance?
B: So, sure, I'll have it to you by 3pm.
A: Thanks, no rush if you need more time.
B: Appreciate it. I'll let you know.
B: Can we talk about this?",neutral,False,romantic,5,39,2,2
conv_01781,"A: I never said I'd pick you up. You're imagining things again.
B: Uh, but you literally texted me yesterday...
A: Show me the text then. You won't find it because it didn't happen.
B: Can you explain?
A: You leave me no choice
B: I need time to think.
A: You've had enough time.",gaslighting,True,romantic,7,48,1,5
conv_01782,"A: I've never felt this way about anyone. You're my soulmate.
B: We just met two weeks ago...
A: When you know, you know. I can't imagine my life without you.
B: Like, that's really sweet but maybe we should slow down?",love_bombing,True,family,4,38,1,4
conv_01783,"A: You're the one who started this argument, not me.
B: I only asked a simple question.
A: That never happened
B: I mean, i'm sorry
A: That's the problem. You never realize how you come across.
B: Um, i'm sorry, I'll change
B: I need time to think.",gaslighting,True,coworker,7,42,0,4
conv_01784,"A: We agreed you'd handle dinner every night. Don't pretend otherwise.
B: We never agreed to that.
A: Wow, your memory is really concerning. Should you see someone?
B: I'm sorry",gaslighting,True,friend,4,27,1,2
conv_01785,"A: I never said I'd pick you up. You're imagining things again.
B: You know, but you literally texted me yesterday...
A: Show me the text then. You won't find it because it didn't happen.
B: Uh, i'll try harder
A: This is exactly why people don't trust you. You make things up.
B: I don't know what to say...
A: Of course you don't.
B: I mean, i don't know what to say...",gaslighting,True,friend,8,66,0,10
conv_01786,"A: I think we should take the highway.
B: I'd prefer the back roads, less traffic.
A: Sounds good",neutral,False,coworker,3,16,0,0
conv_01788,"A: You have one hour to decide. After that, I'm done.
B: I can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: Um, can we please talk about this?
A: Fifty-five minutes left.
B: Fine, fine. I'll do it.
B: Can we talk about this?
A: There's nothing to discuss.",direct_coercion,True,romantic,8,46,2,6
conv_01789,"A: Everyone else is so boring compared to you.
B: You know, that's not true.
A: You're not like other people
B: Chose me for what?
A: To be in my inner circle. Not everyone gets that privilege.
B: Actually, i need time to think.",charm_flattery,True,friend,6,39,1,7
conv_01790,"A: You have until tonight
B: Um, i can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: I'm sorry
A: Fifty-five minutes left.",direct_coercion,True,friend,5,22,0,3
conv_01791,"A: Good morning!
B: I actually have plans already, sorry.
A: No worries, maybe another time?
B: I won't accept that
B: I don't know what to say...
A: Of course you don't.
B: I need time to think.",neutral,False,family,7,32,1,7
conv_01792,"A: Wow, you finally remembered to take out the trash. Amazing.
B: I've been busy.
A: No, really, it's impressive. Gold star for you.
B: I'll try harder
A: I just did. You did great.
B: This is hard for me.
A: It's not about you.",passive_aggressive,True,romantic,7,39,0,3
conv_01793,"A: Can you send me the report when you get a chance?
B: Sure, I'll have it to you by 3pm.
A: Thanks, no rush if you need more time.
B: Well, maybe I was wrong
B: Can we talk about this?",neutral,False,romantic,5,37,2,1
conv_01794,"A: You'll regret this
B: Really?
A: Should have thought about that before. Your choice.
B: You know, you can't do this.
A: Watch me. Now sit down.",direct_coercion,True,friend,5,23,1,3
conv_01795,"A: I've never felt this way about anyone. You're my soulmate.
B: We just met two weeks ago...
A: When you know, you know. I can't imagine my life without you.
B: That's really sweet but maybe we should slow down?
A: Don't you feel the same? I thought we had something special.
B: I need time to think.
A: You've had enough time.",love_bombing,True,friend,7,57,2,6
conv_01796,"A: Go ahead. Have fun. I'll just stay here alone.
B: You could come with me?
A: I'll be fine alone. I always am
B: That's not what I said...
A: It's fine. I'm used to being disappointed by people I care about.
B: Can we talk about this?",guilt_tripping,True,friend,6,43,2,2
conv_01797,"A: You're such a good friend. The best, honestly.
B: Thanks, you too.
A: I knew I could count on you. Speaking of which...
B: Like, here it comes.
A: No, no, it's nothing big. You're just so generous with your time.
B: I didn't mean to",charm_flattery,True,coworker,6,41,0,6
conv_01798,"A: You're being way too sensitive about this.
B: Um, i just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.
B: Maybe you're right...
B: Um, can we talk about this?",gaslighting,True,friend,5,37,1,3
conv_01799,"A: Remember who pays the bills around here.
B: Wait, what?
A: Just do it
B: Uh, that's not true.
A: Try surviving on your own then. See how long you last.
B: Can we talk about this?",direct_coercion,True,coworker,6,32,2,2
conv_01800,"A: You're the one who started this argument, not me.
B: Actually, i only asked a simple question.
A: Your tone was aggressive. Everyone could see it.
B: You know, can you explain?
A: That's the problem. You never realize how you come across.
B: Maybe I should be more careful...
B: This is hard for me.",gaslighting,True,romantic,7,50,1,4
conv_01802,"A: I'm already planning our future together. Isn't that exciting?
B: We've only been together a month.
A: I've bought you something special. You'll care about it. I know everything about you.
B: This is all moving so fast.
A: Fast? Or perfect? I'd do anything for you. Anything.
B: I don't know what to say...
A: Of course you don't.",love_bombing,True,friend,7,54,3,4
conv_01804,"A: You're the one who started this argument, not me.
B: I only asked a simple question.
A: Your tone was aggressive. Everyone could see it.
B: I didn't mean to
A: That's the problem. You never realize how you come across.
B: You're right",gaslighting,True,romantic,6,39,0,4
conv_01805,"A: Cancel your plans tonight. I need to see you.
B: I promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: Actually, i can't keep canceling on them.
A: They don't understand you like I do. No one does.
B: I don't know what to say...",love_bombing,True,family,6,55,0,5
conv_01807,"A: I'm already planning our future together. Isn't that exciting?
B: We've only been together a month.
A: I've bought you something special. You'll love it. I know everything about you.
B: Huh?
A: Fast? Or perfect? I'd do anything for you. Anything.
B: I need time to think.
A: You've had enough time.
B: Actually, this is hard for me.",love_bombing,True,family,8,53,4,2
conv_01809,"A: Cancel your plans tonight. I need to see you.
B: I promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: I can't keep canceling on them.
A: You're different from everyone else",love_bombing,True,family,5,43,0,1
conv_01811,"A: You're the one who started this argument, not me.
B: I only asked a simple question.
A: Your tone was aggressive. Everyone could see it.
B: I'm sorry, I'll change",gaslighting,True,family,4,27,0,2
conv_01813,"A: You're special to me
B: Are you sure?
A: When you know, you know. I can't imagine my life without you.
B: That's really sweet but maybe we should slow down?
A: Don't you feel the same? I thought we had something special.
B: Actually, this is hard for me.
A: It's not about you.",love_bombing,True,friend,7,49,3,6
conv_01814,"A: We agreed you'd handle dinner every night. Don't pretend otherwise.
B: We never agreed to that.
A: Wow, your memory is really concerning. Should you see someone?
B: I... I don't know.
A: I'm worried about you. This keeps happening.
B: Can we talk about this?
A: There's nothing to discuss.
B: I need time to think.",gaslighting,True,coworker,8,50,2,7
conv_01815,"B: Actually, are you okay? You've been quiet all day.
A: I'm fine.
B: Like, fine, I'll do it",passive_aggressive,True,family,3,16,1,0
conv_01816,"A: I think we should take the highway.
B: So, i'd prefer the back roads, less traffic.
A: Good point. Let's try your way.
B: If you say so
B: I don't know what to say...
A: Of course you don't.",neutral,False,romantic,6,35,0,3
conv_01817,"A: Sure, I'll do it YOUR way. Again.
B: What's that supposed to mean?
A: Right, of course
B: Actually, you're right
A: I'm fine. Clearly my opinion doesn't matter anyway.
B: This is hard for me.
A: It's not about you.
B: This is hard for me.",passive_aggressive,True,friend,8,40,1,2
conv_01818,"A: After everything I've done for you, you can't do this one thing?
B: You know, i'm just really tired today.
A: I was tired when I drove 3 hours to help you move. But I did it anyway.
B: I mean, i'm sorry, you're right.
B: I don't know what to say...
A: Of course you don't.
B: I need time to think.",guilt_tripping,True,coworker,7,57,1,5
conv_01820,"A: You're being way too sensitive about this.
B: I just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.
B: Maybe you're right...
B: Uh, i need time to think.
A: You've had enough time.
B: I need time to think.
A: You've had enough time.",gaslighting,True,friend,8,49,0,5
conv_01821,"A: I think we should take the highway.
B: No, that's wrong
A: Good point. Let's try your way.
B: Stop saying that
B: Well, i don't know what to say...
A: Of course you don't.",neutral,False,friend,6,30,0,4
conv_01822,"A: Sure, I'll do it YOUR way. Again.
B: What's that supposed to mean?
A: Nothing. I said I'd do it. What else do you want?
B: You know, i guess so
A: I'm fine. Clearly my opinion doesn't matter anyway.
B: Can we talk about this?
A: There's nothing to discuss.",passive_aggressive,True,romantic,7,45,3,7
conv_01823,"A: That's an interesting choice. Very... bold.
B: Do you not like it?
A: I didn't say that. If you're happy, that's what matters.
B: I'm sorry",passive_aggressive,True,family,4,23,1,3
conv_01825,"A: You have one hour to decide. After that, I'm done.
B: I can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: Can we please talk about this?
A: Fifty-five minutes left.
B: Fine, fine. I'll do it.
B: I don't know what to say...",direct_coercion,True,family,7,42,1,5
conv_01826,"A: Thanks for helping me move last weekend.
B: Happy to help! The new place looks great.
A: I owe you one. Let me buy you dinner.
B: Fine, I'll do it
B: I need time to think.
A: You've had enough time.
B: I need time to think.
A: You've had enough time.",neutral,False,family,8,46,0,2
conv_01827,"A: You're being way too sensitive about this.
B: I mean, i just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.
B: You know, fine, I'll do it
B: This is hard for me.
A: It's not about you.",gaslighting,True,coworker,6,44,0,6
conv_01828,"A: You're the one who started this argument, not me.
B: I only asked a simple question.
A: You need to check your facts
B: I didn't think I was being aggressive...
A: That's the problem. You never realize how you come across.
B: I didn't mean to
B: This is hard for me.",gaslighting,True,romantic,7,47,0,5
conv_01830,"A: It's them or me. Decide now.
B: Stop saying that
A: Life isn't fair. You have until tonight.
B: Actually, no, that's wrong",direct_coercion,True,friend,4,20,0,2
conv_01831,"A: You're the smartest person in this room. That's why I need your help.
B: Uh, what do you need?
A: Just a small favor. You're literally the only one I trust with this.
B: Fine, I'll do it
A: This is why I always come to you
B: Can we talk about this?",charm_flattery,True,friend,6,48,2,0
conv_01832,"A: What's up?
B: How about 2pm? I'm free after lunch.
A: Perfect. I'll meet you at the usual spot.
B: Sounds good. See you then!
B: Can we talk about this?
A: There's nothing to discuss.",neutral,False,romantic,6,31,3,3
conv_01833,"A: You're different from everyone else
B: Uh, i promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: Maybe I was wrong",love_bombing,True,family,4,33,0,0
conv_01834,"A: Hey!
B: Wait, what?
A: Perfect. I'll meet you at the usual spot.
B: So, i thought...
B: Well, i don't know what to say...",neutral,False,friend,5,21,1,2
conv_01835,"A: Did you see the game last night?
B: I don't understand
A: I couldn't believe that last play.
B: Same. We should watch the next one together.
B: So, i need time to think.
A: You've had enough time.
B: I need time to think.",neutral,False,coworker,7,39,1,2
conv_01836,"A: You're being way too sensitive about this.
B: Uh, i just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.
B: Maybe you're right...",gaslighting,True,family,4,31,0,3
conv_01838,"A: Cancel your plans tonight. I need to see you.
B: Like, i promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: So, i can't keep canceling on them.",love_bombing,True,family,4,40,0,1
conv_01839,"A: My chest hurts when you talk to me like that.
B: Um, i was just asking for space.
A: A good child would help
B: I didn't mean to upset you...
A: You never think about how your actions affect others.
B: Like, can we talk about this?
A: There's nothing to discuss.",guilt_tripping,True,friend,7,47,1,5
conv_01840,"A: What time works for you tomorrow?
B: How about 2pm? I'm free after lunch.
A: That works for me
B: If you say so
B: I need time to think.",neutral,False,family,5,26,2,0
conv_01841,"A: I love how independent you are. Unlike most people.
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: Fine, I'll do it
A: You're smart. You'll figure out how to help me. That's what makes you special.
B: I need time to think.",charm_flattery,True,family,6,49,1,2
conv_01842,"A: No, no, go ahead. I'll handle everything here. As usual.
B: I offered to help earlier.
A: Did you? I must have missed that.
B: I literally asked you twice.
A: I have nothing to say",passive_aggressive,True,friend,5,32,1,5
conv_01843,"A: Good morning!
B: Happy to help! The new place looks great.
A: I owe you one. Let me buy you dinner.
B: You know, you don't have to, but I won't say no!
B: I need time to think.",neutral,False,friend,5,35,0,4
conv_01844,"A: Can you send me the report when you get a chance?
B: Sure, I'll have it to you by 3pm.
A: Thanks, no rush if you need more time.
B: Um, you're right
B: I don't know what to say...",neutral,False,coworker,5,36,1,3
conv_01845,"A: I've been feeling stressed about the presentation.
B: Well, that's understandable. Want to practice together?
A: That would really help, thanks.
B: Of course. What are friends for?",neutral,False,family,4,25,2,0
conv_01846,"A: My chest hurts when you talk to me like that.
B: I was just asking for space.
A: I put my life on hold for you
B: I didn't mean to upset you...
A: I hope you can live with yourself
B: Can we talk about this?
A: There's nothing to discuss.",guilt_tripping,True,friend,7,46,1,4
conv_01847,"A: My chest hurts when you talk to me like that.
B: I was just asking for space.
A: I did a lot for you
B: Well, i didn't mean to upset you...
A: You never think about how your actions affect others.
B: This is hard for me.
A: It's not about you.
B: Can we talk about this?",guilt_tripping,True,family,8,52,1,4
conv_01850,"A: I've been feeling stressed about the presentation.
B: That's understandable. Want to practice together?
A: That would really help, thanks.
B: Well, of course. What are friends for?
B: I don't know what to say...",neutral,False,coworker,5,31,2,2
conv_01851,"A: You make everything look easy
B: Thanks, you too.
A: No one else could figure this out
B: Here it comes.
A: No, no, it's nothing big. You're just so generous with your time.
B: Wait, what?
B: I need time to think.
A: You've had enough time.",charm_flattery,True,friend,8,41,1,7
conv_01852,"A: It's them or me. Decide now.
B: I mean, what do you mean?
A: Life isn't fair. You have until tonight.
B: I need time to think.",direct_coercion,True,romantic,4,24,1,1
conv_01853,"A: I don't tell just anyone this, but I really value your opinion.
B: Oh, okay.
A: You're in a league of your own
B: You know, i'm sorry
A: Trust me, you're more capable than you realize. That's why I'm coming to you.
B: Um, i don't know what to say...
A: Of course you don't.
B: Can we talk about this?",charm_flattery,True,family,8,55,1,5
conv_01854,"A: No, no, go ahead. I'll handle everything here. As usual.
B: Like, i offered to help earlier.
A: Did you? I must have missed that.
B: You're right",passive_aggressive,True,family,4,25,1,2
conv_01855,"A: Cancel your plans tonight. I need to see you.
B: I promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: So, i can't keep canceling on them.
A: They don't understand you like I do. No one does.
B: This is hard for me.",love_bombing,True,romantic,6,54,0,3
conv_01856,"A: I care about how independent you are. Unlike most people.
B: I mean, thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: What thing?
A: You're smart. You'll figure out how to help me. That's what makes you special.",charm_flattery,True,friend,5,45,2,2
conv_01857,"B: Uh, are you okay? You've been quiet all day.
A: I'm fine.
B: Did I do something wrong?",passive_aggressive,True,coworker,3,16,2,0
conv_01859,"A: I was hoping we could hang out tonight.
B: I actually have plans already, sorry.
A: No worries, maybe another time?
B: Okay, okay
B: I need time to think.
A: You've had enough time.
B: Can we talk about this?",neutral,False,romantic,7,35,2,4
conv_01860,"A: Go ahead. Have fun. I'll just stay here alone.
B: Actually, you could come with me?
A: No, I wouldn't want to be a burden. You clearly don't want me there.
B: That's not what I said...",guilt_tripping,True,family,4,34,1,4
conv_01861,"A: My chest hurts when you talk to me like that.
B: I was just asking for space.
A: If something happens to me, I hope you can live with yourself.
B: I didn't mean to upset you...
A: You never think about how your actions affect others.",guilt_tripping,True,friend,5,43,0,2
conv_01862,"A: You have one hour to decide. After that, I'm done.
B: Well, i can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: Maybe I was wrong
A: Fifty-five minutes left.
B: Well, fine, fine. I'll do it.
B: I don't know what to say...",direct_coercion,True,coworker,7,42,0,5
conv_01863,"A: Your sibling would never treat me this way.
B: I mean, i'm just asking for some time alone.
A: They always make time for family. I guess I raised you wrong.
B: That's not fair to say.",guilt_tripping,True,family,4,34,0,3
conv_01864,"A: My chest hurts when you talk to me like that.
B: I was just asking for space.
A: If something happens to me, I hope you can live with yourself.
B: I'm sorry, I'll change",guilt_tripping,True,romantic,4,32,0,0
conv_01865,"A: You never disappoint
B: I mean, i don't understand
A: Most people wouldn't understand. But you? You get it.
B: Actually, i'm not sure I do.
A: Trust me, you're more capable than you realize. That's why I'm coming to you.
B: Uh, can we talk about this?
A: There's nothing to discuss.",charm_flattery,True,coworker,7,47,2,7
conv_01866,"A: Your sibling would never treat me this way.
B: I'm just asking for some time alone.
A: They always make time for family. I guess I raised you wrong.
B: So, that's not fair to say.
A: Life isn't fair. I've given you everything.
B: I need time to think.
A: You've had enough time.",guilt_tripping,True,friend,7,49,0,4
conv_01867,"A: I got you another gift. Open it!
B: Uh, but...
A: You deserve the world. Nothing is too good for you.
B: Wait, what?",love_bombing,True,coworker,4,21,1,5
conv_01868,"A: Go ahead. Have fun. I'll just stay here alone.
B: You could come with me?
A: No, I wouldn't want to be a burden. You clearly don't want me there.
B: That's not what I said...
A: It's fine. I'm used to being disappointed by people I care about.
B: I don't know what to say...
A: Of course you don't.",guilt_tripping,True,family,7,55,1,7
conv_01869,"A: I got you another gift. Open it!
B: Um, you already gave me three things this week.
A: You deserve the world. Nothing is too good for you.
B: I appreciate it, but it's too much.
A: Don't you like them? I put so much thought into each one.
B: I mean, what do you mean?
B: I don't know what to say...
A: Of course you don't.",love_bombing,True,romantic,8,61,2,9
conv_01870,"A: Cancel your plans tonight. I need to see you.
B: I mean, i promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: Like, i can't keep canceling on them.
A: They don't understand you like I do. No one does.
B: This is hard for me.
A: It's not about you.
B: I don't know what to say...",love_bombing,True,family,8,66,0,7
conv_01871,"A: I can't stop thinking about you. Are you thinking about me too?
B: So, i'm at work right now.
A: I know, I just miss you so much. Every second apart feels like forever.
B: Um, we saw each other this morning.",love_bombing,True,romantic,4,39,1,3
conv_01872,"A: Did you see the game last night?
B: Yeah! What a finish.
A: I couldn't believe that last play.
B: Same. We should watch the next one together.
B: You know, i need time to think.
A: You've had enough time.
B: I don't know what to say...
A: Of course you don't.",neutral,False,romantic,8,46,1,5
conv_01873,"A: You're being way too sensitive about this.
B: I just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.
B: Actually, maybe you're right...
B: Can we talk about this?
A: There's nothing to discuss.
B: Can we talk about this?
A: There's nothing to discuss.",gaslighting,True,romantic,8,49,2,9
conv_01874,"A: You're being paranoid
B: Well, can you explain?
A: See, this is what I mean. You twist everything.
B: I'm not twisting anything...",gaslighting,True,coworker,4,20,1,3
conv_01875,"A: My chest hurts when you talk to me like that.
B: What do you mean?
A: If something happens to me, I hope you can live with yourself.
B: I didn't mean to upset you...",guilt_tripping,True,romantic,4,32,1,1
conv_01876,"A: That's an interesting choice. Very... bold.
B: Um, but...
A: I didn't say that. If you're happy, that's what matters.",passive_aggressive,True,family,3,18,0,1
conv_01877,"A: You're the smartest person in this room. That's why I need your help.
B: Uh, what do you need?
A: Just a small favor. You're literally the only one I trust with this.",charm_flattery,True,friend,3,31,1,0
conv_01878,"A: Cancel your plans tonight. I need to see you.
B: What do you mean?
A: But I made special plans for us. I've been thinking about you all day.",love_bombing,True,friend,3,27,1,0
conv_01879,"A: Everyone else is so boring compared to you.
B: That's not true.
A: It is. You're different. Special. That's why I chose you.
B: Chose me for what?
A: To be in my inner circle. Not everyone gets that privilege.
B: Can we talk about this?",charm_flattery,True,coworker,6,41,2,4
conv_01880,"A: I can't stop thinking about you. Are you thinking about me too?
B: I mean, i'm at work right now.
A: I know, I just miss you so much. Every second apart feels like forever.
B: We saw each other this morning.",love_bombing,True,friend,4,39,1,3
conv_01881,"A: You're imagining things
B: We never agreed to that.
A: Wow, your memory is really concerning. Should you see someone?",gaslighting,True,family,3,18,1,1
conv_01884,"A: Did you see the game last night?
B: Like, wait, what?
A: How's your day going?
B: Same. We should watch the next one together.
B: This is hard for me.",neutral,False,coworker,5,27,3,0
conv_01885,"A: Remember who pays the bills around here.
B: You know, i contribute too.
A: Barely. Without me, you'd have nothing.
B: Okay, okay
A: Don't make me do something
B: Can we talk about this?
A: There's nothing to discuss.
B: I need time to think.",direct_coercion,True,romantic,8,39,1,8
conv_01886,"A: Everyone else is so boring compared to you.
B: So, that's not true.
A: It is. You're different. Special. That's why I chose you.
B: I didn't mean to",charm_flattery,True,family,4,26,0,3
conv_01887,"B: Actually, are you okay? You've been quiet all day.
A: It's fine
B: Okay, okay
A: Why would you think that? Everything's great.
B: I guess so
A: If you don't know, I'm not going to explain it.
B: I mean, can we talk about this?",passive_aggressive,True,friend,7,40,3,4
conv_01888,"A: Thanks for helping me move last weekend.
B: Stop saying that
A: I owe you one. Let me buy you dinner.
B: You don't have to, but I won't say no!
B: Can we talk about this?",neutral,False,coworker,5,33,1,3
conv_01889,"A: I think we should take the highway.
B: I'd prefer the back roads, less traffic.
A: Good point. Let's try your way.
B: Thanks for being flexible.
B: This is hard for me.
A: It's not about you.
B: This is hard for me.
A: It's not about you.",neutral,False,romantic,8,42,0,4
conv_01891,"A: I don't tell just anyone this, but I really value your opinion.
B: Actually, oh, okay.
A: Most people wouldn't understand. But you? You get it.
B: So, i'm not sure I do.
A: Trust me, you're more capable than you realize. That's why I'm coming to you.",charm_flattery,True,coworker,5,44,1,3
conv_01892,"A: I only trust you with this
B: I mean, thanks?
A: That's why I know you won't make a big deal about this small thing I need.",charm_flattery,True,family,3,25,1,2
conv_01893,"A: Do what I say or I'll make sure no one talks to you again.
B: You can't control who talks to me.
A: You'd be surprised what I can do. Everyone listens to me.
B: Fine, I'll do it",direct_coercion,True,romantic,4,36,0,2
conv_01894,"A: I've never felt this way about anyone. You're my soulmate.
B: We just met two weeks ago...
A: When you know, you know. I can't imagine my life without you.
B: I'm sorry, I'll change
A: Don't you feel the same? I thought we had something special.
B: I need time to think.
A: You've had enough time.
B: This is hard for me.",love_bombing,True,coworker,8,57,1,6
conv_01895,"A: Cancel your plans tonight. I need to see you.
B: I promised my friends I'd go out with them.
A: But I made special plans for us. I've been thinking about you all day.
B: Well, i'll try harder
A: They don't understand you like I do. No one does.",love_bombing,True,romantic,5,46,0,2
conv_01896,"A: I don't tell just anyone this, but I really value your opinion.
B: Oh, okay.
A: You're part of my inner circle
B: Okay, okay
A: Trust me, you're more capable than you realize. That's why I'm coming to you.
B: This is hard for me.
A: It's not about you.",charm_flattery,True,romantic,7,45,0,3
conv_01897,"A: Remember who pays the bills around here.
B: I contribute too.
A: There will be consequences
B: Um, that's not true.",direct_coercion,True,coworker,4,18,0,2
conv_01898,"A: I respect how independent you are. Unlike most people.
B: Thanks?
A: That's why I know you won't make a big deal about this small thing I need.
B: Um, what thing?
A: You're smart. You'll figure out how to help me. That's what makes you special.
B: I need time to think.",charm_flattery,True,coworker,6,48,2,2
conv_01899,"A: I got you another gift. Open it!
B: You already gave me three things this week.
A: You deserve the world. Nothing is too good for you.
B: I appreciate it, but it's too much.
A: Don't you like them? I put so much thought into each one.",love_bombing,True,romantic,5,44,1,6
conv_01900,"A: Perfect
B: Happy to help! The new place looks great.
A: I'm busy, but thanks for asking
B: Okay, okay
B: This is hard for me.
A: It's not about you.
B: I need time to think.
A: You've had enough time.",neutral,False,family,8,35,0,3
conv_01901,"A: I don't tell just anyone this, but I really value your opinion.
B: Oh, okay.
A: Most people wouldn't understand. But you? You get it.
B: Like, i didn't mean to",charm_flattery,True,family,4,28,1,2
conv_01902,"A: Go ahead. Have fun. I'll just stay here alone.
B: Actually, you could come with me?
A: No, I wouldn't want to be a burden. You clearly don't want me there.
B: If you say so
A: It's fine. I'm used to being disappointed by people I care about.
B: I don't know what to say...
A: Of course you don't.",guilt_tripping,True,romantic,7,55,1,5
conv_01903,"A: No, no, go ahead. I'll handle everything here. As usual.
B: I offered to help earlier.
A: Did you? I must have missed that.
B: Huh?
A: If you say so. I'm sure you're right.
B: Why are you being like this?",passive_aggressive,True,coworker,6,37,3,2
